Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Production_log,Yield_log,Area_log,Fertilizer_log,Pesticide_log
Arecanut,1997,Whole Year ,Assam,73814.0,56708,2051.4,7024878.38,22882.34,0.796086957,10.945688207278275,0.5856103857458028,11.209317241968188,15.764968602929914,10.038164413860812
Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685,2051.4,631643.29,2057.47,0.710434783,8.452334619067742,0.5367475972605381,8.80056599227992,13.356081682400971,7.629718267385035
Castor seed,1997,Kharif     ,Assam,796.0,22,2051.4,75755.32,246.76,0.238333333,3.1354942159291497,0.2137663892324338,6.680854678790215,11.235277152234566,5.512460535664947
Coconut ,1997,Whole Year ,Assam,19656.0,126905000,2051.4,1870661.52,6093.36,5238.051739,18.658949340891553,8.5638957950991,9.8861887879578,14.441803214855376,8.715119032300333
Cotton(lint),1997,Kharif     ,Assam,1739.0,794,2051.4,165500.63,539.09,0.420909091,6.678342114654332,0.35129687169899426,7.461640392208575,12.016736322693353,6.291735792337641
Dry chillies,1997,Whole Year ,Assam,13587.0,9073,2051.4,1293074.79,4211.97,0.643636364,9.113168460223909,0.49691108238689885,9.516942329280475,14.07253427165875,8.345923141137144
Gram,1997,Rabi       ,Assam,2979.0,1507,2051.4,283511.43,923.49,0.465454545,7.318539548567902,0.38216546396993795,7.9996785794994505,12.555011245985966,6.829242234111026
Jute,1997,Kharif     ,Assam,94520.0,904095,2051.4,8995468.4,29301.2,9.919565217,13.714690828426322,2.390556154231069,11.456577311016355,16.012231608552174,10.285417877510628
Linseed,1997,Rabi       ,Assam,10098.0,5158,2051.4,961026.66,3130.38,0.461363636,8.54849804124465,0.379369997076479,9.220191688026556,13.77575847005643,8.049229080937437
Maize,1997,Kharif     ,Assam,19216.0,14721,2051.4,1828786.72,5956.96,0.615652174,9.59709825261865,0.47973869807030944,9.863550582932428,14.419163857214487,8.692483419588388
Mesta,1997,Kharif     ,Assam,5915.0,29003,2051.4,562930.55,1833.65,4.568947368,10.275189030491484,1.7172060536740226,8.68541582383069,13.240913318913229,7.514609006601482
Niger seed,1997,Whole Year ,Assam,9914.0,5076,2051.4,943515.38,3073.34,0.482352941,8.532475814947395,0.3936306503421139,9.201804040953895,13.757369004530345,8.030845523057073
Onion,1997,Whole Year ,Assam,7832.0,17943,2051.4,745371.44,2427.92,2.342608696,9.795011076200044,1.2067515488369456,8.96610085736724,13.52163929190668,7.795201993095444
Other  Rabi pulses,1997,Rabi       ,Assam,108297.0,58272,2051.4,10306625.49,33572.07,0.520869565,10.972894143280692,0.4192822535183675,11.592641965597878,16.148297594883598,10.42147953649275
Potato,1997,Whole Year ,Assam,75259.0,671871,2051.4,7162399.03,23330.29,7.561304348,13.417823125171918,2.147252555648243,11.228704064147427,15.784355682490624,10.057550657100213
Rapeseed &Mustard,1997,Rabi       ,Assam,279292.0,154772,2051.4,26580219.64,86580.52,0.554782609,11.949714806320419,0.44133573457191316,12.540016688962552,17.0956779121931,11.368841676859423
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,12.894990896760083,0.5771017646800323,13.316875328492321,17.8725384654029,12.145696011712174
Rice,1997,Summer     ,Assam,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783,12.253070728690757,0.7229170202402607,12.07239838555774,16.628057496575355,10.901228124685142
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348,14.314646320771514,0.663360091482944,14.371303046395841,18.92696724507055,13.200121341653604
Sesamum,1997,Whole Year ,Assam,15765.0,8257,2051.4,1500355.05,4887.15,0.487391304,9.018937706446035,0.3970237828265139,9.665611001619853,14.221213004572094,8.494569187778291
Small millets,1997,Kharif     ,Assam,10490.0,5391,2051.4,998333.3,3251.9,0.473,8.592671652592143,0.38730113748049316,9.258273025731485,13.813843469143576,8.087302185146246
Sugarcane,1997,Kharif     ,Assam,31318.0,1287451,2051.4,2980534.06,9708.58,41.89695652,14.068175629271655,3.7588008798276125,10.351980221114811,14.907613392699925,9.180868305972941
Sweet potato,1997,Whole Year ,Assam,9380.0,32618,2051.4,892694.6,2907.8,3.440434783,10.392650219665859,1.490752295748981,9.14644164612595,13.702000928287825,7.97549590398316
Tapioca,1997,Whole Year ,Assam,2465.0,11728,2051.4,234594.05,764.15,4.41826087,9.369819686521504,1.6897748912671702,7.81035268372429,12.365616115234664,6.640071893037045
Tobacco,1997,Whole Year ,Assam,433.0,26,2051.4,41208.61,134.23,0.38,3.295836866004329,0.3220834991691133,6.073044534100405,10.626426760565684,4.906977032485268
Turmeric,1997,Whole Year ,Assam,10071.0,6974,2051.4,958457.07,3122.01,0.67,8.850087606689566,0.5128236264286639,9.217514575724183,13.7730810950754,8.046552559327264
Wheat,1997,Rabi       ,Assam,84698.0,110054,2051.4,8060708.66,26256.38,1.25952381,11.608735519816204,0.815154087543262,11.346859074195008,15.902512157753291,10.175702371363665
Arecanut,1997,Whole Year ,Karnataka,93100.0,133342,1266.7,8860327.0,28861.0,1.293571429,11.800680034794011,0.8301101786730216,11.441440204346033,15.997094342212057,10.270281129996023
Arhar/Tur,1997,Kharif     ,Karnataka,421810.0,98473,1266.7,40143657.7,130761.1,0.268235294,11.497547832925905,0.23762640189181597,12.952312625397058,17.507975045659016,11.78113492066636
Bajra,1997,Kharif     ,Karnataka,301149.0,132056,1266.7,28660350.33,93356.19,0.404545455,11.790988926543687,0.3397137308690085,12.615363758471867,17.171025238837665,11.444188167964194
Bajra,1997,Summer     ,Karnataka,820.0,662,1266.7,78039.4,254.2,0.81,6.4967749901858625,0.5933268452777344,6.710523109452428,11.264981920300539,5.542047551470635
Black pepper,1997,Kharif     ,Karnataka,3825.0,924,1266.7,364025.25,1185.75,0.4375,6.829793737512425,0.3629054936893685,8.249575150000199,12.804981259403304,7.078973757431427
Cardamom,1997,Whole Year ,Karnataka,21230.0,1214,1266.7,2020459.1,6581.3,0.058571429,7.102499355774649,0.056920290657540513,9.963217656743895,14.518835815718449,8.792139507316014
Coriander,1997,Whole Year ,Karnataka,17317.0,2853,1266.7,1648058.89,5368.27,0.121333333,7.956476798036782,0.11451845314532677,9.759501702007746,14.315109329810653,8.588447237852492
Dry chillies,1997,Kharif     ,Karnataka,186579.0,139206,1266.7,17756723.43,57839.49,1.078333333,11.84371731297441,0.7315662903035052,12.136615380514952,16.69227484327028,10.965444328442683
Dry chillies,1997,Rabi       ,Karnataka,4565.0,7895,1266.7,434451.05,1415.15,1.869444444,8.974111581113318,1.0541184375145942,8.42639282708974,12.981840860865956,7.255697200846635
Garlic,1997,Whole Year ,Karnataka,5061.0,3799,1266.7,481655.37,1568.91,1.585,8.242756345714477,0.9497255079603925,8.529516941105069,13.084986213469435,7.358773571858458
